Rotation,LED_no,s1,s2,s3,s4,t
1,14,1952.0,2048.0,2016.0,4321.0,48
1,14,1824.0,2016.0,2016.0,3328.0,49
1,14,1888.0,1536.0,1984.0,2848.0,50
1,14,1760.0,1888.0,1984.0,2496.0,51
1,14,1760.0,1856.0,2016.0,2272.0,52
1,14,1728.0,1856.0,2016.0,2144.0,53
1,14,1728.0,1824.0,2016.0,2048.0,54
1,14,1728.0,1824.0,2016.0,2112.0,55
1,14,1728.0,1824.0,1984.0,2080.0,56
1,14,1760.0,1728.0,1952.0,2016.0,57
1,14,2112.0,2656.0,1856.0,5537.0,58
1,14,1760.0,1952.0,1920.0,3744.0,59
1,14,1760.0,2016.0,1920.0,3104.0,60
1,14,1728.0,1952.0,1952.0,2624.0,61
1,14,1728.0,1856.0,2016.0,2176.0,62
1,14,1728.0,1664.0,1984.0,2176.0,63
1,14,1696.0,1856.0,1984.0,2048.0,64
1,14,1728.0,1824.0,2016.0,1984.0,65
1,14,1696.0,1760.0,1984.0,1984.0,66
1,14,1696.0,1792.0,1984.0,2144.0,67
1,14,1696.0,1792.0,2016.0,2016.0,68
1,14,1760.0,1792.0,1984.0,2080.0,69
1,14,1344.0,1696.0,1536.0,6337.0,70
1,14,1600.0,2144.0,1984.0,4000.0,71
1,14,1728.0,1888.0,1952.0,3104.0,72
1,14,1760.0,1888.0,1984.0,2656.0,73
1,14,1760.0,1888.0,1888.0,2400.0,74
1,14,1760.0,1824.0,1952.0,2208.0,75
1,14,1728.0,1824.0,2016.0,2080.0,76
1,14,1728.0,1824.0,1984.0,1984.0,77
1,14,1728.0,1856.0,2080.0,1984.0,78
1,14,1728.0,1792.0,1984.0,2048.0,79
1,14,1728.0,1824.0,2016.0,2016.0,80
1,14,1728.0,1824.0,1984.0,2080.0,81
1,14,1760.0,1760.0,1984.0,1952.0,82
1,14,1536.0,2464.0,2048.0,5185.0,83
1,14,1664.0,1920.0,1952.0,3712.0,84
1,14,1792.0,1952.0,1952.0,3040.0,85
1,14,1728.0,1824.0,1984.0,2624.0,86
1,14,1760.0,1824.0,1952.0,2336.0,87
1,14,1696.0,1792.0,1952.0,2208.0,88
1,14,1728.0,1792.0,2048.0,2048.0,89
1,14,1728.0,1824.0,2016.0,2048.0,90
1,14,1728.0,1824.0,2016.0,2112.0,91
1,14,1728.0,1728.0,1984.0,2048.0,92
1,14,1696.0,1760.0,2016.0,2016.0,93
1,14,0.0,0.0,0.0,14947.0,94
1,14,1696.0,3040.0,1376.0,6209.0,95
1,14,1728.0,1920.0,1888.0,4289.0,96
1,14,1824.0,1952.0,1856.0,3520.0,97
1,14,1792.0,1856.0,1920.0,2912.0,98
1,14,1760.0,1824.0,1920.0,2528.0,99
1,15,9954.0,5953.0,4481.0,5249.0,0
1,15,2144.0,4321.0,1664.0,7713.0,1
1,15,1920.0,2528.0,1984.0,5441.0,2
1,15,1984.0,2272.0,1952.0,4129.0,3
1,15,1888.0,1984.0,1984.0,3360.0,4
1,15,1888.0,1920.0,1856.0,2944.0,5
1,15,1792.0,1888.0,1984.0,2560.0,6
1,15,1760.0,1920.0,1952.0,2304.0,7
1,15,1760.0,1856.0,2016.0,2144.0,8
1,15,1728.0,1824.0,2048.0,2048.0,9
1,15,1728.0,1824.0,2112.0,2080.0,10
1,15,1728.0,1856.0,2272.0,2080.0,11
1,15,1696.0,1792.0,1984.0,2080.0,12
1,15,1600.0,7137.0,4737.0,14531.0,13
1,15,2400.0,3328.0,2432.0,6849.0,14
1,15,2080.0,2784.0,2144.0,4961.0,15
1,15,2016.0,2432.0,2080.0,3968.0,16
1,15,1952.0,2112.0,1952.0,3264.0,17
1,15,1888.0,2112.0,2016.0,2752.0,18
1,15,1824.0,2016.0,1984.0,2496.0,19
1,15,1760.0,1920.0,2016.0,2240.0,20
1,15,1728.0,1888.0,1952.0,2144.0,21
1,15,1728.0,1856.0,2080.0,2016.0,22
1,15,1760.0,1824.0,2048.0,1984.0,23
1,15,1760.0,1824.0,2016.0,2080.0,24
1,15,1696.0,1824.0,1984.0,2016.0,25
1,15,2176.0,3008.0,1536.0,4641.0,26
1,15,1760.0,2080.0,1952.0,3392.0,27
1,15,1824.0,2112.0,1888.0,2944.0,28
1,15,1696.0,1920.0,2016.0,2432.0,29
1,15,1760.0,1984.0,2144.0,2464.0,30
1,15,1728.0,1856.0,2016.0,2112.0,31
1,15,1728.0,1824.0,1984.0,2016.0,32
1,15,1760.0,1856.0,2016.0,2112.0,33
1,15,1664.0,1792.0,2144.0,2080.0,34
1,15,1792.0,1824.0,1984.0,2016.0,35
1,15,1728.0,1824.0,1984.0,1984.0,36
1,15,1760.0,1792.0,2112.0,1888.0,37
1,15,2656.0,3552.0,2144.0,6497.0,38
1,15,1696.0,2112.0,1952.0,4321.0,39
1,15,1824.0,2080.0,1920.0,3616.0,40
1,15,1792.0,1952.0,2016.0,2880.0,41
1,15,1792.0,1984.0,1984.0,2592.0,42
1,15,1760.0,1856.0,2016.0,2304.0,43
1,15,1760.0,1856.0,1952.0,2144.0,44
1,15,1728.0,1856.0,2016.0,2048.0,45
1,15,1760.0,1824.0,2048.0,2112.0,46
1,15,1728.0,1824.0,1984.0,2080.0,47
1,15,1728.0,1824.0,1984.0,2048.0,48
1,15,1728.0,1792.0,1952.0,2016.0,49
1,15,0.0,11426.0,3936.0,12515.0,50
1,15,1728.0,2400.0,1536.0,4000.0,51
1,15,1696.0,2016.0,2080.0,2912.0,52
1,15,1824.0,1984.0,1952.0,2528.0,53
1,15,1760.0,1856.0,1984.0,2240.0,54
1,15,1760.0,1824.0,1984.0,2112.0,55
1,15,1728.0,1792.0,2016.0,2016.0,56
1,15,1760.0,1792.0,1984.0,2112.0,57
1,15,1760.0,1792.0,1984.0,2080.0,58
1,15,1728.0,1792.0,2016.0,2016.0,59
1,15,1728.0,1792.0,1984.0,1920.0,60
1,15,1728.0,1856.0,1984.0,2016.0,61
1,15,3232.0,1472.0,128.0,7201.0,62
1,15,1760.0,2464.0,2112.0,4897.0,63
1,15,1888.0,2112.0,2016.0,3808.0,64
1,15,1856.0,1984.0,2016.0,3040.0,65
1,15,1824.0,2080.0,1952.0,2688.0,66
1,15,1760.0,2016.0,2016.0,2368.0,67
1,15,1792.0,1888.0,1984.0,2208.0,68
1,15,1760.0,1856.0,2048.0,2112.0,69
1,15,1728.0,1792.0,2112.0,2144.0,70
1,15,1728.0,1824.0,2016.0,2112.0,71
1,15,1728.0,1792.0,1984.0,2080.0,72
